col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
11.8382352941176,17.10992,15.527253,15.527253,22.3,20.292822,1377.34856,1249.9438665,1249.9438665,1795.15,1633.572171,0,0,0,0,0
0.0,36.272683,32.91746,32.91746,51.11,38.3846,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2.0,2.791971,2.533714,2.533714,4.131314,3.4556,279.1971,253.3714,253.3714,413.1314,345.56,0,0,0,0,0
1.25,17.874621,16.221261,16.221261,23.83,21.200009,223.4327625,202.7657625,202.7657625,297.875,265.0001125,0,0,0,0,0
8.25,8.85,8.031375,8.031375,13.01,8.85,292.05,265.035375,265.035375,429.33,292.05,0,0,0,0,0
0.333333333333333,23.211405,21.06435,21.06435,24.99,23.26,116.057025,105.32175,105.32175,124.95,116.3,0,0,0,0,0
0.0144444444444444,3.64494,3.64494,3.64494,4.85,3.65,1.4215266,1.4215266,1.4215266,1.8915,1.4235,0,0,0,0,0
546.285714285714,21.629892,19.629127,19.629127,27.75,19.5,82712.707008,75061.781648,75061.781648,106116.0,74568.0,0,0,0,0,0
5789.42857142857,18.16745,16.486961,16.486941,26.87,16.36,736254.0787,668150.581486,668149.770966,1088933.62,663005.36,0,0,0,0,0
153.724,9.319884,9.319884,9.319884,20.0,9.25,1432.689848016,1432.689848016,1432.689848016,3074.48,1421.947,0,0,0,0,0
0.0037037037037037,6.089998,6.089998,6.089998,6.99,6.09,0.6089998,0.6089998,0.6089998,0.699,0.609,0,0,0,0,0
0.0,1.0,1.0,1.0,4.1,3.1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,5.299971,5.299971,5.299971,7.75,5.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2.41666666666667,7.419095,6.732828,6.732828,10.73,7.536667,430.30751,390.504024,390.504024,622.34,437.126686,0,0,0,0,0
2.45833333333333,7.441311,6.752989,6.752989,10.73,7.596667,439.037349,398.426351,398.426351,633.07,448.203353,0,0,0,0,0
4.7,5.094398,4.623166,4.623166,7.27,5.091,239.436706,217.288802,217.288802,341.69,239.277,0,0,0,0,0
2.1,5.104,4.63188,4.63188,7.27,5.104,107.184,97.26948,97.26948,152.67,107.184,0,0,0,0,0
5.2,5.091,4.620082,4.620082,7.38,5.091,264.732,240.244264,240.244264,383.76,264.732,0,0,0,0,0
1.0,2.17,1.969275,1.969275,3.25,2.17,21.7,19.69275,19.69275,32.5,21.7,0,0,0,0,0
0.0,3.736582,3.736582,3.736582,4.99,3.35,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0670909090909091,20.395401,18.698026,18.698026,27.55,18.35,7.525902969,6.899571594,6.899571594,10.16595,6.77115,0,0,0,0,0
0.0,1.0,1.0,1.0,6.1,4.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
9091.0,148.775934,137.791387,137.791559,210.99,120.16,1352522.015994,1252661.499217,1252663.062869,1918110.09,1092374.56,0,0,0,0,0
63.5416666666667,9.663766,8.968065,8.968065,13.45,6.88,14737.24315,13676.299125,13676.299125,20511.25,10492.0,0,0,0,0,0
0.0,15.607099,14.473738,14.473738,23.147697,11.526,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.2,14.707779,13.585768,13.585768,21.661858,11.037,29.415558,27.171536,27.171536,43.323716,22.074,0,0,0,0,0
11.7,11.200488,10.411083,10.411083,15.44,7.9895,2620.914192,2436.193422,2436.193422,3612.96,1869.543,0,0,0,0,0
0.0,30.438091,28.176607,28.176607,45.739667,23.305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,13.785403,12.779918,12.779918,21.661893,11.037,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6.95,11.807252,10.974858,10.974858,16.67,8.4165,1641.208028,1525.505262,1525.505262,2317.13,1169.8935,0,0,0,0,0
748.0,124.304774,115.238207,115.238204,174.25,100.23,92979.970952,86198.178836,86198.176592,130339.0,74972.04,0,0,0,0,0
0.0,13.605635,12.605024,12.585181,21.528433,10.969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,2.59,2.350425,2.350425,5.98,2.59,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5.05,11.21,10.420207,10.420207,16.26,7.9895,1132.21,1052.440907,1052.440907,1642.26,806.9395,0,0,0,0,0
0.0,13.363324,12.395776,12.395776,22.46,11.037,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,30.723615,28.402916,28.402916,45.739667,23.305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2600.0,110.655081,102.521029,102.520881,165.75,92.23,287703.2106,266554.6754,266554.2906,430950.0,239798.0,0,0,0,0,0
0.0,249.7275,231.5309,231.5309,335.0,196.72,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2.33333333333333,39.490369,36.621147,36.621147,56.256432,29.291667,552.865166,512.696058,512.696058,787.590048,410.083338,0,0,0,0,0
0.1,13.765195,12.767181,12.767181,22.42,9.809,13.765195,12.767181,12.767181,22.42,9.809,0,0,0,0,0
