id,CodFornec,Fornecedor,colum1,colum2,colum3,colum4,colum5,colum6,colum7,colum8,colum9,colum10,colum11,colum12,colum13,colum14
1,1214,DAIRY PARTNERES AMERICAS BRASIL LTDA,761,43835.0,14389.226,883,279.838142695357,8896.06,3.60022870363341,247097.08,170761.026079,76336.053921,30.8931428574551,8.73861941839596,8.73861941839596,67
2,976,PANDURATA ALIMENTOS LTDA,487,40442.0,8886.903702,511,459.475283757339,2257.58,0.961523923294278,234791.87,183011.326217,51780.543783,22.0538061147518,8.30344411380134,17.0420635321973,95
3,390,MASTERFOODS BRASIL ALIMENTOS LTDA,324,1022.0,16210.4,345,532.856666666667,4884.8,2.65715744316048,183835.55,147687.723391,36147.826609,19.6631318637772,6.50136742620148,23.5434309583988,97
4,3175,SEARA ALIMENTOS LTDA,597,12206.11,9140.956315,628,280.044856687898,1051.44,0.597856906113255,175868.17,147343.39923245,28524.77076755,16.2194050052093,6.21960002700057,29.7630309853993,73
5,3,NUTRIZA AGROINDUSTRIAL DE ALIMENTOS S/A,437,14754.0,14739.6,446,285.829910313901,0.0,0.0,127480.14,104870.964311,22609.175689,17.7354493719571,4.50835123937456,34.2713822247739,32
6,3715,SEARA ALIMENTOS LTDA,211,10279.48,9933.354,221,560.047194570136,281.3,0.227275610176033,123770.43,104957.40427179,18813.02572821,15.1999356617005,4.37715687705099,38.6485391018249,0
7,3420,CASTROL BRASIL LTDA,39,4921.0,4815.7,39,2994.73128205128,0.0,0.0,116794.52,107178.34941,9616.17059000001,8.23340905891818,4.13045293952577,42.7789920413507,51
8,1244,COTRIJUI-COOPERATIVA AGROPECUARIA & IND,262,7535.0,7535.0,264,411.669696969697,0.0,0.0,108680.8,93743.593225,14937.206775,13.7441082279483,3.84351020775643,46.6225022491071,4
9,483,ABATEDOURO COROAVES LTDA,136,11958.0,11958.0,140,703.308285714286,0.0,0.0,98463.16,86084.113148,12379.046852,12.5722624096159,3.48216207966775,50.1046643287748,4
10,4,NISSIN FOODS DO BRASIL LTDA,73,69151.0,6366.561,81,1174.33345679012,17235.05,18.1190780039026,95121.01,84570.983976,10550.026024,11.0911627452232,3.36396652313105,53.4686308519059,51
11,2901,SEARA COMERCIO DE ALIMENTOS LTDA,255,2903.0,6611.0,261,309.490383141762,0.0,0.0,80776.99,68919.329912,11857.660088,14.6795022790525,2.85668844558412,56.32531929749,18
12,1861,SEARA ALIMENTOS LTDA,192,5174.49,5214.49,195,382.486717948718,529.0,0.709258749524535,74584.91,63133.47910466,11451.43089534,15.3535492572693,2.63770475492998,58.96302405242,11
13,2163,BELLUUNO INDUSTRIA DE ALIMENTOS LTDA,241,3845.0,4006.5,245,251.132326530612,215.64,0.350477884494425,61527.42,51455.178318,10072.241682,16.3703299797066,2.17592497319598,61.138949025616,6
14,2346,FRIGOESTRELAS S A EM RECUPERACAO JUDICIAL,213,4743.11,4743.11004669,219,252.803105022831,0.0,0.0,55363.88,43458.12492026,11905.75507974,21.5045532931218,1.95795060324365,63.0968996288596,26
15,297,BEM BRASIL ALIMENTOS LTDA,191,2697.0,4042.76,192,265.863489583333,0.0,0.0,51045.79,42531.245956,8514.544044,16.680208189549,1.80524080544117,64.9021404343008,15
16,394,MASTERFOODS BRASIL ALIMENTOS LTDA (SACHES),191,22057.0,2101.37,194,258.499226804124,0.0,0.0,50148.85,40415.523615,9733.326385,19.4088725563996,1.77352040914537,66.6756608434462,58
17,3785,LATICINIO COLONIA ALTO DO VALE LTDA,74,1752.13,1752.13,74,655.923648648649,0.0,0.0,48538.35,39960.49711392,8577.85288608,17.6723207238812,1.71656487339672,68.3922257168429,0
18,1107,JBS S.A,112,5283.585,5329.105,115,415.648,369.064,0.772108171797541,47799.52,35039.052717255,12760.467282745,26.6958063234631,1.69043605720475,70.0826617740476,29
19,2946,PASTIFICIO SELMI S A,127,11217.0,5241.325,133,299.52037593985,587.96,1.47594362013856,39836.21,34040.957233,5795.252767,14.5477011166474,1.40881259406748,71.4914743681151,21
20,2750,BRF S.A.,139,2860.0,2860.0,139,277.617985611511,0.0,0.0,38588.9,30349.54429,8239.35571,21.3516210879294,1.36470131850421,72.8561756866193,0
21,2751,MIMOSA ALIMENTOS LTDA,168,2248.0,2134.8,173,204.711271676301,158.6,0.447832206928975,35415.05,29140.692845,6274.357155,17.7166406795981,1.25245771270734,74.1086333993267,12
22,1662,PANASONIC DO BRASIL LTDA,86,1445.0,610.485,94,366.040425531915,2903.41,8.43823202878417,34407.8,30695.404475,3712.395525,10.7894010224426,1.21683618934018,75.3254695886668,29
23,1118,PANDURATA ALIMENTOS LTDA (PRINGLES),136,2828.0,301.506,137,197.547299270073,59.04,0.21814973259661,27063.98,20425.804748,6638.175252,24.5277126719721,0.957121068233909,76.2825906569007,4
24,725,FRIGORIFICO AVICOLA VOTUPORANGA LTDA,44,3100.0,3100.0,44,607.222727272727,0.0,0.0,26717.8,22588.03358,4129.76642,15.4569853056764,0.944878368845231,77.227469025746,6
25,3485,TMB FOODS INDUSTRIA E COMERCIO LTDA,208,12314.0,510.632,209,108.253205741627,139.48,0.616488367693676,22624.92,15745.82134,6879.09866,30.4049634650642,0.800133151114756,78.0276021768607,4
26,960,MERCURIO FRIG FABRIL E EXPOR DE ALI LTDA,33,1457.88,1457.88,34,636.422941176471,0.0,0.0,21638.38,17542.5567069,4095.8232931,18.9285117143705,0.765244039511235,78.7928462163719,17
